player_name,game_id,game_date,y,y_pred
Jon Leuer,21600975,2017-03-11,0,0.06851907
Wesley Matthews,21600982,2017-03-11,3,3.3888326
Jusuf Nurkic,21600983,2017-03-11,2,1.0054508
Marreese Speights,21600974,2017-03-11,1,1.0133483
Wayne Ellington,21600979,2017-03-11,0,0.08628197
Darrell Arthur,21600984,2017-03-11,1,1.047479
Steven Adams,21600973,2017-03-11,0,0.08628197
Luke Babbitt,21600979,2017-03-11,3,3.0056403
Marc Gasol,21600981,2017-03-11,2,3.1758666
Thabo Sefolosha,21600981,2017-03-11,2,1.9036901
Richard Jefferson,21600977,2017-03-11,2,2.0456321
Iman Shumpert,21600977,2017-03-11,2,2.003014
Darrun Hilliard,21600975,2017-03-11,0,0.0682255
Andrew Harrison,21600981,2017-03-11,3,2.9246264
Goran Dragic,21600979,2017-03-11,2,2.7876606
Hollis Thompson,21600976,2017-03-11,2,2.0612955
Seth Curry,21600982,2017-03-11,3,3.1710114
Brandon Rush,21600978,2017-03-11,2,1.9744024
Allen Crabbe,21600983,2017-03-11,2,1.9967903
Joe Ingles,21600973,2017-03-11,3,2.9814208
David West,21600980,2017-03-11,3,3.1684172
Dante Exum,21600973,2017-03-11,1,1.1654474
Kris Dunn,21600978,2017-03-11,3,3.1984606
Giannis Antetokounmpo,21600978,2017-03-11,7,6.58189
Jameer Nelson,21600984,2017-03-11,4,4.3755145
Michael Kidd-Gilchrist,21600976,2017-03-11,4,3.882047
Bryn Forbes,21600980,2017-03-11,0,0.0682255
Jakob Poeltl,21600979,2017-03-11,0,0.0682255
Gerald Green,21600970,2017-03-10,0,0.08628197
Dejounte Murray,21600962,2017-03-09,3,3.387449
Robin Lopez,21600966,2017-03-10,0,0.11307287
Tony Snell,21600967,2017-03-10,3,2.9797716
Tyler Zeller,21600970,2017-03-10,0,0.08628197
Kevon Looney,21600968,2017-03-10,0,0.08664572
Treveon Graham,21600965,2017-03-10,0,0.0682255
Isaiah Thomas,21600970,2017-03-10,5,4.6418886
Anthony Tolliver,21600972,2017-03-10,0,0.09530999
Patrick Beverley,21600966,2017-03-10,4,4.423936
Patrick Patterson,21600969,2017-03-10,0,0.0682255
Seth Curry,21600971,2017-03-10,4,4.1572475
Bobby Portis,21600966,2017-03-10,0,0.0682255
Spencer Dinwiddie,21600971,2017-03-10,3,3.0104582
Jerian Grant,21600966,2017-03-10,5,4.7713203
LeBron James,21600960,2017-03-09,10,11.527192
Robert Covington,21600963,2017-03-09,2,2.092636
Marc Gasol,21600961,2017-03-09,5,4.2884593
Jonas Jerebko,21600970,2017-03-10,0,0.08628197
Draymond Green,21600968,2017-03-10,7,6.0931616
Salah Mejri,21600971,2017-03-10,0,0.0682255
Elfrid Payton,21600965,2017-03-10,12,11.579631
Rakeem Christmas,21600967,2017-03-10,0,0.06851907
Kelly Olynyk,21600970,2017-03-10,2,1.977803
Jeff Green,21600965,2017-03-10,0,0.0682255
Bojan Bogdanovic,21600972,2017-03-10,1,1.047479
Roy Hibbert,21600970,2017-03-10,0,0.0682255
Quincy Acy,21600971,2017-03-10,1,1.0133483
Thon Maker,21600967,2017-03-10,0,0.09501642
Jason Smith,21600972,2017-03-10,1,1.1311029
Kosta Koufos,21600972,2017-03-10,1,1.0999154
Kris Dunn,21600968,2017-03-10,0,0.45244184
Nicolas Batum,21600965,2017-03-10,10,9.523468
Bobby Brown,21600966,2017-03-10,0,0.0682255
Lavoy Allen,21600967,2017-03-10,1,1.0632305
Jeremy Lamb,21600965,2017-03-10,3,2.9246264
