player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Damian Lillard,21601029,2017-03-18,4,3.7703228,9100.0,9100.0,42.0,PG,PG,PG
Kenneth Faried,21601034,2017-03-18,0,0.04136732,4300.0,4300.0,18.0,PF,PF,PF
James Harden,21601034,2017-03-18,8,7.5524936,12400.0,12400.0,62.0,PG/SG,PG/SG,PG
Jae Crowder,21601037,2017-03-19,3,2.9449131,6000.0,6000.0,23.0,SF,SF,SF
Andrew Nicholson,21601036,2017-03-19,2,1.966459,3000.0,3000.0,10.0,PF,PF,PF
Patty Mills,21601042,2017-03-19,1,1.0361496,5500.0,5500.0,14.0,PG,PG,PG
Cheick Diallo,21601039,2017-03-19,0,0.04136732,3000.0,3000.0,10.0,PF,PF,PF
Josh Richardson,21601041,2017-03-19,1,0.9940731,4600.0,4600.0,10.0,SG/SF,SG/SF,SG
Jonathon Simmons,21601042,2017-03-19,1,0.9907521,3800.0,3800.0,10.0,SG/SF,SG/SF,SF
Willie Cauley-Stein,21601042,2017-03-19,2,2.0569587,5900.0,5900.0,18.0,PF/C,PF/C,PF
Maurice Harkless,21601029,2017-03-18,2,2.143902,4400.0,4400.0,15.0,SF,SF,SF
Jeff Teague,21601040,2017-03-19,1,1.0608238,6200.0,6200.0,26.0,PG,PG,PG
Tristan Thompson,21601043,2017-03-19,0,0.041076355,4900.0,4900.0,16.0,C,C,C
Cory Joseph,21601040,2017-03-19,4,3.2291121,4800.0,4800.0,14.0,PG,PG,PG
Jeremy Lin,21601036,2017-03-19,1,1.4300311,5900.0,5900.0,19.0,PG,PG,PG
Brandon Ingram,21601043,2017-03-19,1,0.56213963,4900.0,4900.0,14.0,SF,SF,SF
Kelly Olynyk,21601037,2017-03-19,0,0.046569865,4000.0,4000.0,11.0,PF/C,PF/C,PF
Tyler Johnson,21601041,2017-03-19,2,1.8267461,5500.0,5500.0,17.0,PG,PG,PG
Timothe Luwawu-Cabarrot,21601037,2017-03-19,2,2.0551264,3700.0,3700.0,10.0,SG/SF,SG/SF,SG
Rakeem Christmas,21601040,2017-03-19,0,0.04136732,3000.0,3000.0,10.0,C,C,C
Tyler Ennis,21601043,2017-03-19,0,0.041076355,3000.0,3000.0,10.0,PG,PG,PG
Kris Dunn,21601039,2017-03-19,1,1.022786,3000.0,3000.0,10.0,PG,PG,PG
Dante Cunningham,21601039,2017-03-19,1,1.0531889,3600.0,3600.0,10.0,SF/PF,SF/PF,SF
Terry Rozier,21601037,2017-03-19,2,2.0854461,3600.0,3600.0,10.0,PG,PG,PG
Jahlil Okafor,21601037,2017-03-19,1,1.0266756,5100.0,5100.0,12.0,C,C,C
Mike Conley,21601033,2017-03-18,3,2.8044724,7100.0,7100.0,36.0,PG,PG,PG
Malcolm Brogdon,21601035,2017-03-18,0,0.01840683,5000.0,5000.0,17.0,PG/SG,PG/SG,SG
Davis Bertans,21601033,2017-03-18,1,1.0101453,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Kyle Anderson,21601033,2017-03-18,0,0.04136732,3600.0,3600.0,10.0,SG,SG,SG
Blake Griffin,21601031,2017-03-18,0,0.46500638,8000.0,8000.0,43.0,PF/C,PF/C,PF
Danny Green,21601033,2017-03-18,1,1.0546948,3700.0,3700.0,10.0,SG,SG,SG
