player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Willie Reed,21600841,2017-02-15,3,4.2519803,4000.0,4000.0,10.0,C,C,C
Cameron Payne,21600845,2017-02-15,0,0.6689959,3000.0,3000.0,10.0,PG,PG,PG
Taurean Prince,21600846,2017-02-15,8,8.199234,3000.0,3000.0,10.0,SF,SF,SF
Damian Lillard,21600843,2017-02-15,13,12.653863,7800.0,7800.0,43.0,PG,PG,PG
Mike Scott,21600846,2017-02-15,2,1.630463,3000.0,3000.0,10.0,PF,PF,PF
Joffrey Lauvergne,21600845,2017-02-15,9,9.317748,3300.0,3300.0,10.0,PF/C,PF/C,PF
Deron Williams,21600839,2017-02-15,12,11.861333,4500.0,4500.0,19.0,PG,PG,PG
DeMar DeRozan,21600837,2017-02-15,10,11.18418,7900.0,7900.0,42.0,SG,SG,SG
Cory Joseph,21600837,2017-02-15,6,5.7586823,3200.0,3200.0,10.0,PG,PG,PG
Alexis Ajinca,21600840,2017-02-15,12,11.945084,3000.0,3000.0,10.0,C,C,PF
T.J. McConnell,21600836,2017-02-15,12,12.035851,5100.0,5100.0,16.0,PG,PG,PG
Tony Parker,21600834,2017-02-15,5,6.961214,4000.0,4000.0,11.0,PG,PG,PG
Vince Carter,21600840,2017-02-15,5,6.098814,3900.0,3900.0,10.0,SG/SF,SG/SF,SG
Larry Nance Jr.,21600844,2017-02-15,2,3.022728,4200.0,4200.0,10.0,SF/PF,SF/PF,PF
