Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Jameer Nelson,35.7,NOP,Point,852,10,16.6%,49,104.8,31,24.5%,89,1.47,13,17.1%
Raul Neto,25.5,UTA,Point,443,20,19.1%,74,114.6,25,23.1%,59,1.21,11,17.1%
Nerlens Noel,23.6,DAL,Big,465,11,12.2%,39,113.2,28,6.7%,57,0.55,8,19.7%
Lucas Nogueira,25.3,TOR,Big,346,3,10.3%,99,137.8,35,7.2%,81,0.70,23,16.5%
Dirk Nowitzki,39.4,DAL,Big,1876,62,18.4%,55,116.0,61,9.8%,54,0.53,99,6.7%
Frank Ntilikina,19.3,NYK,Combo,1604,45,19.1%,7,90.0,55,21.2%,70,1.11,7,18.0%
Jusuf Nurkic,23.2,POR,Big,2079,91,24.3%,16,106.0,75,11.5%,38,0.48,28,15.8%
David Nwaba,24.8,CHI,Wing,1577,41,15.5%,47,107.7,51,9.5%,56,0.62,25,13.5%
Johnny O'Bryant III,24.4,CHA,Big,329,73,20.2%,6,97.3,34,7.1%,13,0.35,95,8.0%
Royce O'Neale,24.4,UTA,Wing,1066,28,14.4%,54,108.9,65,11.3%,86,0.79,10,15.5%
Kyle O'Quinn,27.6,NYK,Big,1358,58,17.3%,87,126.6,91,16.4%,92,0.95,14,18.2%
Semi Ojeleye,22.9,BOS,Forward,1080,0,8.3%,16,96.4,0,2.7%,4,0.33,45,11.7%
Emeka Okafor,35.1,NOP,Big,314,9,11.8%,20,107.4,1,2.7%,2,0.23,71,11.0%
Jahlil Okafor,21.9,BKN,Big,295,82,21.4%,70,120.2,44,7.7%,14,0.36,50,13.3%
Victor Oladipo,25.5,IND,Wing,2519,99,31.0%,84,115.9,94,20.9%,69,0.68,34,12.6%
Kelly Olynyk,26.5,MIA,Big,1735,86,22.1%,78,122.4,92,18.0%,87,0.81,18,17.3%
Cedi Osman,22.6,CLE,Wing,565,34,14.9%,66,112.5,38,8.2%,39,0.55,21,13.8%
Kelly Oubre,21.9,WAS,Wing,2128,60,17.8%,45,107.5,21,6.8%,10,0.38,70,9.8%
Zaza Pachulia,33.7,GSW,Big,952,53,16.3%,75,122.0,86,14.1%,89,0.86,9,19.3%
Jabari Parker,22.6,MIL,Big,736,84,21.9%,31,110.5,82,13.0%,68,0.59,61,11.8%
Tony Parker,35.5,SAS,Point,1043,48,23.4%,28,99.3,61,28.1%,56,1.20,64,12.3%
